fixture_id,team,player_name,position,number
710792,Newcastle,M. Dúbravka,G,1
710792,Newcastle,K. Trippier,D,15
710792,Newcastle,F. Schär,D,5
710792,Newcastle,J. Lascelles,D,6
710792,Newcastle,M. Targett,D,13
710792,Newcastle,J. Shelvey,M,8
710792,Newcastle,R. Fraser,F,21
710792,Newcastle,A. Saint-Maximin,F,10
710792,Newcastle,J. Willock,M,28
710792,Newcastle,C. Wood,F,20
710792,Newcastle,Joelinton,M,7
710792,Everton,J. Pickford,G,1
710792,Everton,S. Coleman,M,23
710792,Everton,M. Keane,D,5
710792,Everton,Y. Mina,D,13
710792,Everton,M. Holgate,D,4
710792,Everton,A. Townsend,M,14
710792,Everton,Allan,M,6
710792,Everton,André Gomes,M,21
710792,Everton,D. Gray,F,11
710792,Everton,Richarlison,F,7
710792,Everton,A. Gordon,F,24
710793,Tottenham,H. Lloris,G,1
710793,Tottenham,B. Davies,D,33
710793,Tottenham,D. Sánchez,D,6
710793,Tottenham,Reguilón,M,3
710793,Tottenham,C. Romero,D,4
710793,Tottenham,Emerson,M,12
710793,Tottenham,Son Heung-Min,F,7
710793,Tottenham,Lucas Moura,F,27
710793,Tottenham,P. Højbjerg,M,5
710793,Tottenham,H. Winks,M,8
710793,Tottenham,H. Kane,F,10
710793,Southampton,F. Forster,G,44
710793,Southampton,J. Bednarek,D,35
710793,Southampton,R. Perraud,D,15
710793,Southampton,K. Walker-Peters,D,2
710793,Southampton,M. Salisu,D,22
710793,Southampton,Oriol Romeu,M,6
710793,Southampton,S. Armstrong,M,17
710793,Southampton,M. Elyounoussi,M,24
710793,Southampton,J. Ward-Prowse,M,8
710793,Southampton,C. Adams,F,10
710793,Southampton,A. Broja,F,18
710795,Manchester City,Ederson Moraes,G,31
710795,Manchester City,João Cancelo,D,27
710795,Manchester City,Aymeric Laporte,D,14
710795,Manchester City,J. Stones,D,5
710795,Manchester City,Rúben Dias,D,3
710795,Manchester City,K. De Bruyne,M,17
710795,Manchester City,Bernardo Silva,M,20
710795,Manchester City,Rodri,M,16
710795,Manchester City,P. Foden,F,47
710795,Manchester City,R. Mahrez,F,26
710795,Manchester City,R. Sterling,F,7
710795,Brentford,David Raya,G,1
710795,Brentford,P. Jansson,D,18
710795,Brentford,K. Ajer,D,20
710795,Brentford,R. Henry,M,3
710795,Brentford,M. Rasmussen,M,30
710795,Brentford,E. Pinnock,D,5
710795,Brentford,C. Nørgaard,M,6
710795,Brentford,Sergi Canós,F,7
710795,Brentford,M. Jensen,M,8
710795,Brentford,F. Onyeka,M,15
710795,Brentford,S. Ghoddos,F,14
710791,Wolves,José Sá,G,1
710791,Wolves,Fernando Marçal,M,5
710791,Wolves,C. Coady,D,16
710791,Wolves,L. Dendoncker,M,32
710791,Wolves,Nélson Semedo,M,22
710791,Wolves,M. Kilman,D,23
710791,Wolves,R. Saïss,D,27
710791,Wolves,Rúben Neves,M,8
710791,Wolves,Daniel Podence,F,10
710791,Wolves,R. Jiménez,F,9
710791,Wolves,Trincão,F,11
710791,Arsenal,A. Ramsdale,G,32
710791,Arsenal,Cédric Soares,D,17
710791,Arsenal,K. Tierney,D,3
710791,Arsenal,Gabriel Magalhães,D,6
710791,Arsenal,B. White,D,4
710791,Arsenal,G. Xhaka,M,34
710791,Arsenal,T. Partey,M,5
710791,Arsenal,M. Ødegaard,M,8
710791,Arsenal,A. Lacazette,F,9
710791,Arsenal,B. Saka,M,7
710791,Arsenal,Gabriel Martinelli,M,35
710794,Liverpool,Alisson,G,1
710794,Liverpool,J. Matip,D,32
710794,Liverpool,V. van Dijk,D,4
710794,Liverpool,A. Robertson,D,26
710794,Liverpool,T. Alexander-Arnold,D,66
710794,Liverpool,Thiago Alcântara,M,6
710794,Liverpool,Fabinho,M,3
710794,Liverpool,C. Jones,M,17
710794,Liverpool,Roberto Firmino,F,9
710794,Liverpool,Diogo Jota,F,20
710794,Liverpool,L. Díaz,F,23
710794,Leicester,K. Schmeichel,G,1
710794,Leicester,D. Amartey,D,18
710794,Leicester,J. Justin,D,2
710794,Leicester,L. Thomas,D,33
710794,Leicester,M. Albrighton,M,11
710794,Leicester,W. Ndidi,D,25
710794,Leicester,J. Maddison,M,10
710794,Leicester,B. Soumaré,M,42
710794,Leicester,K. Dewsbury-Hall,M,22
710794,Leicester,P. Daka,F,29
710794,Leicester,A. Lookman,M,37
710801,Manchester United,David de Gea,G,1
710801,Manchester United,R. Varane,D,19
710801,Manchester United,H. Maguire,D,5
710801,Manchester United,L. Shaw,D,23
710801,Manchester United,Diogo Dalot,D,20
710801,Manchester United,P. Pogba,M,6
710801,Manchester United,Bruno Fernandes,M,18
710801,Manchester United,S. McTominay,M,39
710801,Manchester United,Cristiano Ronaldo,F,7
710801,Manchester United,M. Rashford,M,10
710801,Manchester United,J. Sancho,M,25
710801,Southampton,F. Forster,G,44
710801,Southampton,J. Bednarek,D,35
710801,Southampton,R. Perraud,D,15
710801,Southampton,K. Walker-Peters,D,2
710801,Southampton,M. Salisu,D,22
710801,Southampton,Oriol Romeu,M,6
710801,Southampton,S. Armstrong,M,17
710801,Southampton,M. Elyounoussi,M,24
710801,Southampton,J. Ward-Prowse,M,8
710801,Southampton,C. Adams,F,10
710801,Southampton,A. Broja,F,18
710805,Watford,B. Foster,G,1
710805,Watford,C. Cathcart,D,15
710805,Watford,Kiko Femenía,D,21
710805,Watford,H. Kamara,D,14
710805,Watford,Samir,D,22
710805,Watford,M. Sissoko,M,19
710805,Watford,J. Kucka,M,33
710805,Watford,T. Cleverley,M,8
710805,Watford,E. Kayembe,M,39
710805,Watford,J. King,F,7
710805,Watford,E. Dennis,F,25
710805,Brighton,Robert Sánchez,G,1
