fixture_id,team,player_name,player_xg,player_form_xg_avg
710792,Everton,A. Townsend,,
710820,Burnley,E. Pieters,,
710831,Brighton,S. Duffy,,
710831,Brighton,J. Moder,,
710835,Wolves,K. Hoever,,
710837,Brentford,Sergi Canós,,
710838,Brighton,S. Alzate,,
710839,Chelsea,M. Sarr,,
710839,Chelsea,J. Filho,,
710842,Norwich,L. Rupp,,
710849,Manchester United,P. Jones,,
710852,Norwich,J. Sargent,,
710852,Norwich,O. Kabak,,
710863,Newcastle,Javi Manquillo,,
710865,Aston Villa,M. Sanson,,
710866,Arsenal,A. Lacazette,,
710872,Wolves,Trincão,,
710872,Wolves,L. Cundle,,
710872,Wolves,Fernando Marçal,,
710875,Watford,J. Hernández,,
710878,Leeds,L. Bate,,
710878,Chelsea,A. Christensen,,
710879,Manchester United,P. Pogba,,
710882,Tottenham,Reguilón,,
710884,West Ham,N. Vlašić,,
710884,Burnley,A. Westwood,,
710885,Wolves,Chiquinho,,
710887,Brentford,S. Ghoddos,,
710888,Southampton,V. Livramento,,
710889,Burnley,J. Rodriguez,,
710890,West Ham,A. Masuaku,,
710890,West Ham,A. Yarmolenko,,
710892,Leicester,A. Lookman,,
710893,Everton,Allan,,
710895,Norwich,K. McLean,,
710895,Norwich,C. Zimmermann,,
710898,Leeds,S. Dallas,,
710901,Crystal Palace,J. McArthur,,
710901,Southampton,S. Long,,
710903,Watford,J. Kucka,,
710903,Burnley,M. Vydra,,
710903,Watford,I. Louza,,
710904,West Ham,M. Noble,,
710905,Wolves,Fábio Silva,,
710908,Manchester United,Mata,,
710909,Burnley,A. Lennon,,
710910,Chelsea,R. Lukaku,,
710910,Chelsea,C. Pulisic,,
710910,Wolves,R. Saïss,,
710912,Everton,F. Delph,,
710915,Norwich,B. Williams,,
710916,Aston Villa,M. Nakamba,,
710916,Crystal Palace,J. Butland,,
710917,Everton,André Gomes,,
710918,Leeds,M. Klich,,
710919,Manchester United,N. Matić,,
710919,Chelsea,Marcos Alonso,,
710921,Southampton,N. Tella,,
710921,Liverpool,T. Minamino,,
710922,Burnley,M. Lowton,,
710922,Tottenham,Lucas Moura,,
710923,Watford,B. Foster,,
