team_name,rank,difficulty_score,difficulty_score_norm
Man City,1,20,10.0
Arsenal,2,19,9.526315789473683
Man United,3,18,9.052631578947368
Newcastle,4,17,8.578947368421051
Liverpool,5,16,8.105263157894736
Brighton,6,15,7.63157894736842
Aston Villa,7,14,7.157894736842105
Tottenham,8,13,6.684210526315789
Brentford,9,12,6.210526315789474
Fulham,10,11,5.7368421052631575
Crystal Palace,11,10,5.263157894736842
Chelsea,12,9,4.789473684210526
Wolves,13,8,4.315789473684211
West Ham,14,7,3.8421052631578947
Bournemouth,15,6,3.3684210526315788
Nottingham Forest,16,5,2.894736842105263
Everton,17,4,2.4210526315789473
Leicester,18,3,1.9473684210526314
Leeds,19,2,1.4736842105263157
Southampton,20,1,1.0
